Date,Year,Quarter,Month,Region,Country,Salesperson,Channel,Product,Category,Units_Sold,Unit_Price,Discount_Pct,Revenue,COGS,Gross_Profit,Gross_Margin_Pct,Pipeline_Stage,Deal_Size,Customer_Type,Contract_Length_Mo,NPS_Score,Forecast_Revenue,Target_Revenue,Attainment_Pct,Lead_Source,Days_To_Close
2022-07-20,2022,Q3,July,Middle East & Africa,Germany,Rep_027,Reseller,Enterprise Suite,Software,1,9695.16,21.2,7638.1,5153.87,2484.23,32.5,Proposal,SMB,New,36,1,7125.8,6117.07,91.2,Event,78
2024-05-16,2024,Q2,May,Europe,France,Rep_004,Online,Cloud Storage,Add-on,13,3106.74,14.5,34539.65,21897.23,12642.43,36.6,Closed Won,Mid-Market,New,36,9,37436.75,34969.69,64.6,SEO,25
2023-01-16,2023,Q1,January,Middle East & Africa,India,Rep_016,Marketplace,Pro Plan,Software,5,6816.08,3.0,33058.97,12228.09,20830.88,63.0,Discovery,Mid-Market,New,1,7,34099.49,33921.5,85.3,Referral,57
2023-10-06,2023,Q4,October,Asia Pacific,UK,Rep_001,Reseller,Analytics Add-on,Add-on,26,1481.61,11.4,34118.51,17773.0,16345.51,47.9,Discovery,Mid-Market,Reactivated,1,2,34375.32,34198.82,70.6,Referral,22
2023-05-16,2023,Q2,May,Asia Pacific,France,Rep_001,Marketplace,AI Accelerator,Add-on,11,4493.21,7.6,45687.3,21539.77,24147.53,52.9,Negotiation,Mid-Market,Reactivated,1,3,43535.11,52809.27,119.4,Outbound,74
2023-08-01,2023,Q3,August,Asia Pacific,Brazil,Rep_004,Direct,Analytics Add-on,Add-on,14,6936.47,12.6,84840.46,49839.9,35000.56,41.3,Proposal,Enterprise,Existing,1,1,82016.23,72311.89,138.4,Outbound,118
2024-05-25,2024,Q2,May,North America,USA,Rep_024,Marketplace,Enterprise Suite,Software,5,9460.5,3.7,45539.84,22362.49,23177.35,50.9,Discovery,Mid-Market,New,36,3,41366.83,43074.34,134.6,Inbound,96
2023-03-07,2023,Q1,March,North America,India,Rep_010,Partner,Analytics Add-on,Add-on,23,7844.14,10.2,162086.04,94002.4,68083.64,42.0,Closed Lost,Enterprise,New,36,1,151691.8,189607.42,122.6,Event,176
2023-05-24,2023,Q2,May,Europe,Japan,Rep_013,Reseller,Security Module,Add-on,45,1258.34,21.5,44470.67,29334.2,15136.47,34.0,Negotiation,Mid-Market,Existing,12,4,40234.08,39011.98,86.3,Inbound,76
2023-12-21,2023,Q4,December,Middle East & Africa,Germany,Rep_038,Online,Data Connector,Add-on,22,9403.52,24.3,156689.01,68028.66,88660.35,56.6,Closed Won,Enterprise,New,36,6,163851.11,145011.12,108.5,SEO,34
2024-02-28,2024,Q1,February,Asia Pacific,France,Rep_013,Online,Analytics Add-on,Add-on,3,7145.1,23.1,16475.29,6439.65,10035.65,60.9,Proposal,Mid-Market,New,24,10,15862.14,18768.76,117.6,Referral,134
2023-09-26,2023,Q3,September,Asia Pacific,Canada,Rep_012,Marketplace,Data Connector,Add-on,26,7031.64,4.8,174054.52,80186.61,93867.91,53.9,Discovery,Enterprise,Existing,36,9,185671.8,160399.94,76.8,SEO,160
2023-10-22,2023,Q4,October,Latin America,Germany,Rep_006,Online,Cloud Storage,Add-on,29,6820.15,19.8,158537.17,84610.82,73926.35,46.6,Discovery,Enterprise,Reactivated,24,2,168633.56,174463.06,113.8,Outbound,55
2022-10-29,2022,Q4,October,North America,Australia,Rep_027,Marketplace,Enterprise Suite,Software,16,9841.57,19.2,127212.59,71303.14,55909.45,43.9,Closed Lost,Enterprise,Reactivated,36,8,124659.51,109279.25,115.0,Inbound,113
2023-03-25,2023,Q1,March,Middle East & Africa,Australia,Rep_009,Reseller,Starter Kit,Add-on,30,691.14,21.2,16336.81,7511.99,8824.82,54.0,Discovery,Mid-Market,Reactivated,24,8,16704.89,17769.71,100.4,SEO,119
2022-11-22,2022,Q4,November,Latin America,France,Rep_032,Partner,Cloud Storage,Add-on,17,7566.41,6.9,119711.44,65596.39,54115.05,45.2,Negotiation,Enterprise,Existing,1,5,113354.61,111851.07,131.4,Inbound,40
2022-11-05,2022,Q4,November,Latin America,UAE,Rep_035,Reseller,Analytics Add-on,Add-on,45,1696.49,10.4,68424.15,26986.04,41438.11,60.6,Proposal,Enterprise,New,12,7,66911.66,75808.37,135.7,Inbound,152
2024-02-19,2024,Q1,February,North America,Canada,Rep_035,Marketplace,Cloud Storage,Add-on,23,3125.4,22.3,55860.54,28573.77,27286.77,48.8,Discovery,Enterprise,New,36,4,53323.75,55539.72,91.1,Paid,178
2024-04-08,2024,Q2,April,Latin America,India,Rep_037,Direct,Starter Kit,Add-on,9,9810.08,22.7,68272.34,38276.74,29995.6,43.9,Closed Won,Enterprise,Reactivated,36,3,73281.5,59580.7,80.8,Referral,59
2024-07-20,2024,Q3,July,Asia Pacific,Canada,Rep_017,Direct,AI Accelerator,Add-on,49,8819.47,23.8,329387.43,159708.67,169678.75,51.5,Proposal,Enterprise,New,1,6,311219.88,272550.75,136.6,Inbound,12
2023-05-22,2023,Q2,May,North America,India,Rep_014,Reseller,Analytics Add-on,Add-on,40,1692.35,16.7,56364.31,22444.26,33920.05,60.2,Negotiation,Enterprise,Existing,12,10,57573.3,61953.98,69.2,Outbound,84
2022-08-10,2022,Q3,August,Asia Pacific,Japan,Rep_005,Marketplace,Enterprise Suite,Software,37,6837.0,9.9,227883.79,136487.77,91396.02,40.1,Closed Lost,Enterprise,New,24,10,241808.77,254885.95,105.3,Inbound,93
2024-12-27,2024,Q4,December,Asia Pacific,Australia,Rep_007,Reseller,Data Connector,Add-on,5,5157.42,21.2,20310.06,9935.96,10374.1,51.1,Negotiation,Mid-Market,Reactivated,36,3,20048.01,22209.42,137.2,Referral,162
2024-09-17,2024,Q3,September,Latin America,UK,Rep_018,Reseller,Cloud Storage,Add-on,47,6005.25,6.1,264924.25,107416.4,157507.85,59.5,Closed Lost,Enterprise,Existing,36,6,239952.49,302114.62,74.5,Outbound,95
2023-06-14,2023,Q2,June,Asia Pacific,Japan,Rep_006,Partner,AI Accelerator,Add-on,39,7070.6,0.3,275053.63,101771.53,173282.1,63.0,Proposal,Enterprise,Existing,12,8,283079.85,274043.78,123.4,Inbound,80
2023-03-30,2023,Q1,March,Europe,UAE,Rep_028,Marketplace,Data Connector,Add-on,20,6705.81,13.8,115558.75,52607.75,62951.0,54.5,Negotiation,Enterprise,Existing,36,5,111089.47,103103.27,117.7,Referral,35
2023-01-15,2023,Q1,January,Europe,France,Rep_039,Online,Analytics Add-on,Add-on,48,4944.15,24.4,179377.16,114185.15,65192.01,36.3,Closed Won,Enterprise,New,24,4,174386.21,165189.69,116.6,Outbound,75
2022-04-04,2022,Q2,April,Middle East & Africa,Australia,Rep_007,Direct,Enterprise Suite,Software,19,7033.69,21.7,104624.8,44311.04,60313.77,57.6,Discovery,Enterprise,Existing,36,8,103379.12,91415.45,64.1,Event,34
2022-05-14,2022,Q2,May,Latin America,India,Rep_020,Direct,Data Connector,Add-on,5,5853.81,3.8,28158.81,13803.65,14355.16,51.0,Closed Lost,Mid-Market,New,36,10,28700.17,29492.62,122.1,Event,120
2024-06-25,2024,Q2,June,Middle East & Africa,UK,Rep_014,Partner,Security Module,Add-on,28,3191.73,15.2,75747.91,40685.55,35062.37,46.3,Negotiation,Enterprise,Reactivated,1,3,71806.98,77323.24,72.5,Event,120
2024-08-20,2024,Q3,August,North America,UK,Rep_015,Online,Security Module,Add-on,15,3022.43,21.5,35593.55,16805.29,18788.26,52.8,Discovery,Mid-Market,Reactivated,12,7,32851.25,31675.54,71.9,Referral,41
2022-05-27,2022,Q2,May,Europe,Australia,Rep_008,Reseller,Enterprise Suite,Software,20,6030.43,23.0,92832.69,61035.21,31797.48,34.3,Negotiation,Enterprise,Reactivated,36,5,92841.46,92602.29,66.4,Inbound,115
2023-10-23,2023,Q4,October,North America,India,Rep_002,Online,Security Module,Add-on,6,2442.46,21.5,11502.09,6866.85,4635.24,40.3,Discovery,Mid-Market,New,12,8,11545.71,11236.3,82.3,SEO,116
2024-10-04,2024,Q4,October,Latin America,Germany,Rep_022,Reseller,Pro Plan,Software,23,4200.81,2.6,94092.09,36740.65,57351.43,61.0,Proposal,Enterprise,Existing,36,9,85373.46,78587.96,80.2,Inbound,108
2024-11-19,2024,Q4,November,Middle East & Africa,Australia,Rep_029,Direct,Enterprise Suite,Software,30,4248.83,9.0,115936.25,44216.98,71719.28,61.9,Closed Lost,Enterprise,Existing,12,5,114501.34,125130.0,69.7,Paid,160
2023-05-06,2023,Q2,May,Asia Pacific,UK,Rep_030,Direct,Starter Kit,Add-on,36,333.01,5.6,11314.9,4819.29,6495.61,57.4,Closed Lost,Mid-Market,Existing,24,9,11779.75,10932.42,98.6,Event,67
2024-07-24,2024,Q3,July,Latin America,UK,Rep_018,Reseller,Starter Kit,Add-on,13,9233.31,22.0,93645.96,51261.32,42384.64,45.3,Negotiation,Enterprise,Reactivated,24,1,89578.71,86100.19,107.0,Paid,130
2022-11-01,2022,Q4,November,Middle East & Africa,Australia,Rep_021,Partner,Cloud Storage,Add-on,31,3581.21,13.6,95935.07,48623.44,47311.63,49.3,Closed Lost,Enterprise,Reactivated,36,4,102765.9,92511.15,85.5,Event,102
2024-03-01,2024,Q1,March,Latin America,UK,Rep_029,Direct,Starter Kit,Add-on,3,1436.21,8.3,3951.03,2332.43,1618.6,41.0,Discovery,SMB,Existing,1,3,3879.89,4195.65,72.3,Event,72
2023-11-25,2023,Q4,November,North America,UAE,Rep_032,Marketplace,Data Connector,Add-on,22,8551.95,9.5,170268.78,96862.6,73406.19,43.1,Closed Won,Enterprise,Reactivated,1,4,174735.31,198937.22,139.8,Paid,28
2024-06-07,2024,Q2,June,North America,UAE,Rep_004,Online,Pro Plan,Software,29,1829.37,0.7,52667.95,19887.37,32780.58,62.2,Negotiation,Enterprise,Existing,36,3,49973.43,50815.12,114.5,Outbound,48
2022-12-25,2022,Q4,December,Middle East & Africa,Germany,Rep_015,Reseller,Pro Plan,Software,25,6272.16,22.8,121020.22,56481.98,64538.24,53.3,Negotiation,Enterprise,Existing,24,1,130675.42,119338.2,83.0,SEO,45
2022-06-01,2022,Q2,June,Asia Pacific,Australia,Rep_020,Partner,Cloud Storage,Add-on,38,3130.71,17.3,98435.9,64302.55,34133.35,34.7,Proposal,Enterprise,Existing,1,4,96100.3,92882.51,83.7,Paid,80
2022-02-14,2022,Q1,February,Asia Pacific,USA,Rep_039,Reseller,Data Connector,Add-on,1,5745.1,18.6,4675.55,2708.53,1967.03,42.1,Negotiation,SMB,New,24,4,4803.31,4901.65,114.2,Paid,173
2022-10-08,2022,Q4,October,North America,Germany,Rep_006,Online,Pro Plan,Software,20,7927.38,9.1,144085.68,48886.76,95198.92,66.1,Negotiation,Enterprise,Reactivated,36,3,135463.44,160598.64,130.1,Referral,140
2024-10-24,2024,Q4,October,Europe,Brazil,Rep_022,Direct,Security Module,Add-on,17,9156.68,24.2,118016.94,83442.97,34573.97,29.3,Proposal,Enterprise,New,12,4,126517.48,128601.49,138.4,SEO,98
2022-07-04,2022,Q3,July,North America,Brazil,Rep_038,Reseller,Data Connector,Add-on,17,5457.41,16.8,77170.37,38381.09,38789.29,50.3,Negotiation,Enterprise,New,12,8,69839.57,89030.99,104.9,SEO,61
2022-05-10,2022,Q2,May,Asia Pacific,Brazil,Rep_032,Direct,Cloud Storage,Add-on,42,4200.3,23.7,134679.47,59088.38,75591.09,56.1,Closed Won,Enterprise,New,12,7,133430.82,143863.86,119.5,SEO,112
2022-11-13,2022,Q4,November,North America,UAE,Rep_014,Reseller,Data Connector,Add-on,32,6232.39,7.0,185488.93,106651.33,78837.6,42.5,Proposal,Enterprise,New,24,2,203330.29,175645.77,132.1,Paid,96
2022-05-05,2022,Q2,May,Asia Pacific,UK,Rep_014,Marketplace,Data Connector,Add-on,13,9687.43,20.6,99987.61,67659.75,32327.86,32.3,Closed Won,Enterprise,New,24,4,109762.82,111465.31,76.4,SEO,58
2023-03-19,2023,Q1,March,Asia Pacific,Germany,Rep_009,Marketplace,Analytics Add-on,Add-on,50,1645.03,0.1,82193.24,43192.98,39000.26,47.4,Negotiation,Enterprise,New,1,1,76140.58,77532.63,123.1,SEO,87
2022-02-02,2022,Q1,February,Asia Pacific,UK,Rep_031,Reseller,Starter Kit,Add-on,4,1441.23,2.8,5601.14,2336.18,3264.96,58.3,Negotiation,SMB,Reactivated,1,8,5605.44,6599.07,63.5,Paid,138
2023-09-10,2023,Q3,September,North America,UK,Rep_032,Reseller,Cloud Storage,Add-on,4,9985.15,10.7,35684.19,20442.58,15241.61,42.7,Closed Won,Mid-Market,New,24,10,33174.41,30348.57,109.9,SEO,145
2023-10-28,2023,Q4,October,Middle East & Africa,UK,Rep_036,Partner,Data Connector,Add-on,34,3089.0,10.8,93730.41,44781.77,48948.64,52.2,Proposal,Enterprise,Existing,12,7,90711.01,91986.98,93.3,Inbound,85
2024-05-24,2024,Q2,May,Asia Pacific,UK,Rep_006,Direct,AI Accelerator,Add-on,24,9544.21,11.9,201901.9,108049.26,93852.64,46.5,Proposal,Enterprise,New,24,3,204178.17,208884.88,104.9,Referral,176
2022-09-08,2022,Q3,September,Asia Pacific,USA,Rep_019,Marketplace,Data Connector,Add-on,43,9422.07,22.9,312385.81,164382.86,148002.95,47.4,Negotiation,Enterprise,Existing,1,10,312848.93,269242.85,98.6,Inbound,94
2024-01-23,2024,Q1,January,Asia Pacific,India,Rep_040,Marketplace,Pro Plan,Software,37,2415.36,14.0,76835.15,36397.75,40437.4,52.6,Closed Won,Enterprise,Reactivated,24,1,71924.1,83064.91,84.7,Referral,94
2022-01-13,2022,Q1,January,Europe,USA,Rep_006,Marketplace,Starter Kit,Add-on,37,6640.98,18.5,200199.15,77989.42,122209.73,61.0,Closed Lost,Enterprise,Existing,36,8,193828.65,189793.04,117.7,SEO,157
2022-06-23,2022,Q2,June,Europe,Australia,Rep_028,Reseller,Enterprise Suite,Software,11,7592.47,2.0,81813.82,26094.16,55719.66,68.1,Discovery,Enterprise,Existing,36,5,77159.74,82217.86,87.6,Inbound,77
2024-09-23,2024,Q3,September,North America,Brazil,Rep_014,Partner,Security Module,Add-on,15,4072.58,0.2,60971.32,27479.61,33491.71,54.9,Negotiation,Enterprise,Existing,24,2,54968.45,66995.63,74.1,Event,141
2023-04-17,2023,Q2,April,North America,UK,Rep_021,Marketplace,AI Accelerator,Add-on,26,8644.29,0.5,223698.51,69802.34,153896.17,68.8,Proposal,Enterprise,Reactivated,36,7,214281.48,215200.86,137.3,Outbound,163
2024-07-31,2024,Q3,July,North America,France,Rep_006,Reseller,AI Accelerator,Add-on,28,8474.95,14.7,202363.94,85624.21,116739.73,57.7,Negotiation,Enterprise,Reactivated,24,4,195607.76,175500.75,100.8,Inbound,140
2024-11-10,2024,Q4,November,Asia Pacific,Japan,Rep_007,Partner,Analytics Add-on,Add-on,23,7327.32,20.4,134189.06,85062.47,49126.59,36.6,Negotiation,Enterprise,New,12,10,124872.84,148099.23,66.0,Paid,131
2024-08-08,2024,Q3,August,Middle East & Africa,UAE,Rep_010,Reseller,Cloud Storage,Add-on,42,6424.92,21.6,211543.23,123085.34,88457.89,41.8,Closed Won,Enterprise,Existing,36,5,224080.53,219278.92,88.2,Inbound,84
2024-08-03,2024,Q3,August,North America,UK,Rep_040,Marketplace,Cloud Storage,Add-on,4,3812.63,16.1,12792.64,5669.67,7122.97,55.7,Discovery,Mid-Market,Existing,36,10,12931.61,14285.89,131.7,Event,151
2023-01-21,2023,Q1,January,Middle East & Africa,UAE,Rep_006,Marketplace,AI Accelerator,Add-on,31,5112.4,11.3,140634.17,85491.33,55142.84,39.2,Closed Lost,Enterprise,New,12,8,154444.05,141988.11,108.8,Referral,100
2023-08-03,2023,Q3,August,Latin America,UAE,Rep_005,Online,Data Connector,Add-on,50,3515.0,19.7,141073.26,78994.57,62078.7,44.0,Closed Won,Enterprise,Reactivated,36,5,134075.91,160911.9,137.2,SEO,43
2023-11-14,2023,Q4,November,Middle East & Africa,Canada,Rep_009,Marketplace,Pro Plan,Software,43,1585.0,24.2,51666.6,26406.98,25259.62,48.9,Closed Won,Enterprise,Existing,36,6,54902.84,55182.33,126.3,Paid,180
2024-12-14,2024,Q4,December,Latin America,Japan,Rep_022,Reseller,Pro Plan,Software,33,3744.92,4.5,118012.88,48277.32,69735.57,59.1,Closed Lost,Enterprise,New,12,3,108032.89,134271.68,68.1,SEO,139
2022-03-19,2022,Q1,March,Middle East & Africa,India,Rep_011,Reseller,AI Accelerator,Add-on,9,6052.02,4.5,52005.55,18440.91,33564.64,64.5,Closed Won,Enterprise,Existing,24,4,56889.79,54306.18,120.2,Event,64
2024-12-29,2024,Q4,December,Asia Pacific,India,Rep_029,Reseller,Analytics Add-on,Add-on,31,9057.95,17.0,233179.87,97858.68,135321.19,58.0,Negotiation,Enterprise,Existing,36,3,247958.41,261278.91,71.1,Referral,18
2024-09-11,2024,Q3,September,Middle East & Africa,UK,Rep_011,Online,AI Accelerator,Add-on,7,7170.73,3.1,48630.55,21532.56,27097.99,55.7,Proposal,Mid-Market,Reactivated,12,7,44659.51,56615.79,125.3,Referral,11
2024-04-29,2024,Q2,April,Latin America,Japan,Rep_002,Online,Enterprise Suite,Software,33,3863.82,2.0,124904.85,50561.48,74343.36,59.5,Closed Won,Enterprise,Reactivated,24,3,115851.73,114256.93,126.4,Paid,40
2024-08-18,2024,Q3,August,Middle East & Africa,Germany,Rep_036,Marketplace,Cloud Storage,Add-on,1,9076.4,5.4,8587.06,2766.04,5821.02,67.8,Discovery,SMB,Existing,1,5,8136.48,7288.18,79.1,Paid,164
2024-07-25,2024,Q3,July,North America,Japan,Rep_010,Online,Pro Plan,Software,32,6047.04,12.9,168573.37,58846.69,109726.68,65.1,Proposal,Enterprise,New,24,4,170955.78,147489.15,113.5,SEO,97
2022-05-19,2022,Q2,May,Latin America,USA,Rep_023,Direct,Enterprise Suite,Software,31,625.64,9.3,17584.73,7694.29,9890.44,56.2,Negotiation,Mid-Market,New,1,10,18411.87,16406.68,63.5,SEO,91
2022-12-25,2022,Q4,December,Latin America,Australia,Rep_003,Online,Cloud Storage,Add-on,41,1985.32,17.9,66827.09,27163.68,39663.4,59.4,Closed Lost,Enterprise,New,12,1,64362.45,61750.26,91.9,SEO,126
2023-06-03,2023,Q2,June,Europe,UAE,Rep_018,Direct,Enterprise Suite,Software,19,3697.35,21.6,55044.1,34788.33,20255.77,36.8,Negotiation,Enterprise,Existing,36,8,59388.59,52548.28,137.9,Event,132
2024-01-23,2024,Q1,January,North America,Germany,Rep_035,Online,Security Module,Add-on,47,4359.1,24.9,153909.23,83518.7,70390.53,45.7,Negotiation,Enterprise,New,1,6,158862.62,141996.4,108.2,Event,47
2024-06-28,2024,Q2,June,Latin America,Canada,Rep_018,Direct,AI Accelerator,Add-on,3,7321.78,15.4,18588.99,11595.54,6993.44,37.6,Closed Won,Mid-Market,Reactivated,36,6,18637.64,20447.13,72.8,Inbound,41
2024-06-16,2024,Q2,June,Europe,India,Rep_003,Marketplace,Enterprise Suite,Software,5,2511.75,9.1,11421.73,5793.25,5628.49,49.3,Closed Lost,Mid-Market,Reactivated,36,6,11129.37,12623.68,105.9,SEO,98
2024-03-26,2024,Q1,March,Asia Pacific,France,Rep_025,Marketplace,AI Accelerator,Add-on,16,9612.1,4.7,146640.3,47134.39,99505.91,67.9,Closed Won,Enterprise,Existing,24,8,138269.2,153202.58,115.5,Event,56
2022-09-09,2022,Q3,September,North America,UAE,Rep_023,Direct,Starter Kit,Add-on,29,1891.03,24.9,41167.49,26232.27,14935.21,36.3,Discovery,Mid-Market,Reactivated,24,5,44060.42,44655.35,134.2,Paid,49
2024-01-11,2024,Q1,January,North America,UAE,Rep_036,Marketplace,Analytics Add-on,Add-on,13,7961.24,12.4,90713.82,37174.17,53539.65,59.0,Negotiation,Enterprise,Existing,12,10,97685.12,74956.76,91.9,Paid,127
2024-12-12,2024,Q4,December,Latin America,Australia,Rep_030,Marketplace,Data Connector,Add-on,37,921.76,16.1,28628.27,18522.26,10106.01,35.3,Negotiation,Mid-Market,New,12,3,28242.46,33331.46,64.4,Inbound,137
2022-11-10,2022,Q4,November,Europe,France,Rep_019,Direct,Security Module,Add-on,11,3361.08,8.7,33773.55,17647.88,16125.68,47.7,Negotiation,Mid-Market,New,24,3,34618.04,35319.41,67.5,Paid,48
2022-11-12,2022,Q4,November,Middle East & Africa,USA,Rep_002,Direct,Starter Kit,Add-on,47,9038.61,23.1,326689.9,163300.82,163389.08,50.0,Closed Won,Enterprise,Reactivated,24,4,344132.46,315789.8,111.1,Event,165
2023-08-17,2023,Q3,August,Latin America,UK,Rep_004,Partner,Security Module,Add-on,16,8084.94,7.4,119740.16,60960.18,58779.98,49.1,Proposal,Enterprise,Existing,36,8,112652.09,124848.76,85.0,Paid,86
2023-12-09,2023,Q4,December,Europe,Australia,Rep_008,Online,Data Connector,Add-on,49,3830.29,8.0,172711.13,82658.61,90052.52,52.1,Proposal,Enterprise,New,12,2,157188.04,203480.31,129.1,Event,68
2022-11-24,2022,Q4,November,Middle East & Africa,France,Rep_030,Reseller,AI Accelerator,Add-on,47,3263.61,12.5,134282.32,75280.55,59001.77,43.9,Negotiation,Enterprise,Existing,1,2,146239.7,134574.76,137.3,Outbound,154
2023-12-24,2023,Q4,December,North America,Australia,Rep_019,Marketplace,Enterprise Suite,Software,19,5048.96,16.4,80239.46,49939.86,30299.6,37.8,Closed Won,Enterprise,New,36,3,86377.07,87541.51,121.1,Referral,16
2024-03-31,2024,Q1,March,Middle East & Africa,France,Rep_029,Marketplace,Enterprise Suite,Software,36,2106.62,1.8,74444.26,33240.4,41203.86,55.3,Negotiation,Enterprise,Reactivated,1,3,81517.7,71284.95,123.6,Referral,147
2024-01-19,2024,Q1,January,Europe,Germany,Rep_022,Reseller,Starter Kit,Add-on,39,5188.4,1.1,200055.87,86001.68,114054.19,57.0,Discovery,Enterprise,Existing,12,10,215785.53,171230.3,134.5,Referral,46
2024-03-15,2024,Q1,March,Middle East & Africa,India,Rep_020,Reseller,Security Module,Add-on,22,5170.69,12.2,99824.47,48622.18,51202.29,51.3,Closed Won,Enterprise,Existing,24,2,109405.58,103166.68,123.7,Paid,166
2022-02-24,2022,Q1,February,Asia Pacific,USA,Rep_038,Reseller,Cloud Storage,Add-on,42,7871.46,14.4,282859.61,163330.43,119529.19,42.3,Closed Lost,Enterprise,Reactivated,36,3,301056.61,253690.74,105.8,Paid,33
2023-01-26,2023,Q1,January,Latin America,France,Rep_040,Reseller,Enterprise Suite,Software,21,4303.05,5.1,85757.87,36438.38,49319.49,57.5,Closed Won,Enterprise,Reactivated,12,9,80738.32,79756.52,113.0,SEO,101
2023-10-05,2023,Q4,October,Latin America,Brazil,Rep_040,Reseller,Starter Kit,Add-on,35,3553.8,19.3,100377.53,48331.78,52045.75,51.8,Closed Lost,Enterprise,New,24,9,96332.3,118103.63,138.6,Referral,58
2024-09-28,2024,Q3,September,Latin America,Brazil,Rep_008,Marketplace,AI Accelerator,Add-on,23,5691.78,18.0,107292.47,69856.85,37435.62,34.9,Discovery,Enterprise,Existing,36,6,117047.69,120365.66,83.2,Referral,25
2023-12-11,2023,Q4,December,Asia Pacific,France,Rep_018,Partner,Cloud Storage,Add-on,48,4893.98,13.5,203281.43,82340.26,120941.17,59.5,Closed Won,Enterprise,Reactivated,12,4,185017.22,236228.0,78.1,Outbound,18
2022-07-25,2022,Q3,July,Asia Pacific,France,Rep_011,Reseller,Data Connector,Add-on,46,4828.56,3.4,214480.35,104459.62,110020.73,51.3,Proposal,Enterprise,Existing,12,5,206809.15,226997.25,132.6,Inbound,171
2023-04-21,2023,Q2,April,Europe,Canada,Rep_032,Partner,Enterprise Suite,Software,27,8845.0,23.0,183909.37,82139.75,101769.62,55.3,Negotiation,Enterprise,New,1,5,186409.13,155020.94,138.6,Referral,121
2024-12-09,2024,Q4,December,Europe,Germany,Rep_030,Online,Cloud Storage,Add-on,33,4785.6,2.8,153477.48,54989.91,98487.58,64.2,Closed Lost,Enterprise,New,24,5,155558.06,169272.33,74.0,Paid,108
2024-05-25,2024,Q2,May,North America,UAE,Rep_016,Direct,AI Accelerator,Add-on,26,6757.71,3.5,169524.0,60826.65,108697.35,64.1,Negotiation,Enterprise,Existing,12,8,178127.57,200311.92,84.2,Paid,151
2022-01-24,2022,Q1,January,Asia Pacific,Germany,Rep_026,Marketplace,Security Module,Add-on,45,2514.77,11.6,99997.9,52841.74,47156.16,47.2,Negotiation,Enterprise,Reactivated,1,5,97348.83,88832.1,136.6,Event,44
