Date,Week,Month,Quarter,Year,SKU_ID,Product_Name,Category,Warehouse,Region,Actual_Demand,Forecast_Demand,Forecast_Error_Pct,MAPE,Model_Used,Confidence_Interval_Low,Confidence_Interval_High,Inventory_On_Hand,Inventory_In_Transit,Safety_Stock,Reorder_Point,Days_Of_Supply,Stockout_Risk,Overstock_Risk,Unit_Cost,Selling_Price,Revenue_Forecast,Gross_Margin_Pct,Lead_Time_Days,Supplier,Supplier_Reliability_Pct,Elasticity,Promo_Planned,Promo_Lift_Pct,External_Factor,Trend_Direction,Seasonality_Index,ABC_Classification
2022-06-04,22,June,Q2,2022,SKU-1008,Automotive Item 008,Automotive,European DC,Middle East & Africa,95,121,27.4,7.56,XGBoost,102,139,5983,482,66,170,1889.4,Low,High,132.36,330.9,40038.81,45.9,33,Supplier_11,92.7,-0.37,0,0,Supply Shock,Stable,1.137,A
2023-03-27,13,March,Q1,2023,SKU-1006,Home & Garden Item 006,Home & Garden,West Coast Hub,Asia Pacific,3785,3014,20.4,15.26,LSTM,2561,3466,4841,1067,5461,10129,38.4,High,Low,46.41,116.04,349732.81,47.7,37,Supplier_12,75.0,-0.11,0,0,Supply Shock,Stable,1.299,A
2022-02-25,8,February,Q1,2022,SKU-1002,Electronics Item 002,Electronics,Central Depot,Middle East & Africa,3636,4478,23.2,21.53,LSTM,3806,5149,5966,1217,2140,4806,49.2,Low,Low,190.36,475.89,2131031.15,26.4,22,Supplier_08,77.9,-1.9,1,0,Weather,Downward,1.246,A
2022-12-15,50,December,Q4,2022,SKU-1003,Office Item 003,Office,APAC Fulfillment,Europe,2372,1964,17.2,15.21,ARIMA,1669,2258,4114,1968,3729,7128,52.0,Medium,Low,71.5,178.75,351073.01,64.3,43,Supplier_03,70.2,-2.18,0,0,Competitor Promo,Upward,0.918,C
2022-05-19,20,May,Q2,2022,SKU-1001,Home & Garden Item 001,Home & Garden,East Coast Hub,Europe,6489,5552,14.4,11.92,LSTM,4719,6384,7340,114,7430,12404,33.9,High,Low,120.71,301.77,1675400.63,49.0,23,Supplier_08,92.1,-1.72,0,0,Holiday,Upward,1.204,A
2023-12-16,50,December,Q4,2023,SKU-1003,Office Item 003,Office,European DC,Europe,2022,2095,3.6,4.27,Prophet,1780,2409,1934,438,866,1742,28.7,Low,Low,123.79,309.47,648333.57,33.6,13,Supplier_10,95.8,-1.96,0,0,Economic,Stable,0.923,B
2024-03-25,13,March,Q1,2024,SKU-1005,Apparel Item 005,Apparel,APAC Fulfillment,Asia Pacific,3829,4985,30.2,22.12,ARIMA,4237,5732,9801,1537,691,1329,76.8,Low,High,67.93,169.82,846565.76,33.4,5,Supplier_06,96.6,-0.72,1,47.8,None,Downward,1.298,A
2023-12-16,50,December,Q4,2023,SKU-1013,Food & Beverage Item 013,Food & Beverage,Central Depot,Asia Pacific,3834,3985,3.9,17.57,LSTM,3387,4582,8154,1480,3518,7352,63.8,Low,Low,65.1,162.75,648556.81,20.2,30,Supplier_02,86.3,-0.42,0,0,None,Downward,0.923,C
2024-04-26,17,April,Q2,2024,SKU-1029,Food & Beverage Item 029,Food & Beverage,Central Depot,Latin America,5317,6189,16.4,13.57,ARIMA,5260,7117,5128,635,4744,12187,28.9,Medium,Low,129.67,324.17,2006285.92,59.3,42,Supplier_07,77.6,-0.13,1,0,Holiday,Downward,1.271,C
2022-04-07,14,April,Q2,2022,SKU-1025,Food & Beverage Item 025,Food & Beverage,West Coast Hub,Middle East & Africa,4407,3900,11.5,10.54,Holt-Winters,3315,4485,6385,605,2515,5012,43.5,Low,Low,190.59,476.47,1858238.15,24.6,17,Supplier_03,92.1,-2.01,0,0,None,Upward,1.299,A
2023-11-17,46,November,Q4,2023,SKU-1005,Apparel Item 005,Apparel,European DC,Europe,964,797,17.3,22.65,LSTM,677,916,9516,498,516,1190,296.1,Low,High,6.45,16.13,12854.2,34.6,21,Supplier_12,72.8,-0.39,1,0,Competitor Promo,Downward,0.794,A
2023-10-08,40,October,Q4,2023,SKU-1021,Apparel Item 021,Apparel,APAC Fulfillment,Asia Pacific,577,527,8.7,7.14,Holt-Winters,447,606,9180,1772,583,1371,477.3,Low,High,76.46,191.15,100738.38,30.2,41,Supplier_09,95.0,-2.12,0,0,Economic,Upward,0.702,B
2023-11-27,48,November,Q4,2023,SKU-1004,Home & Garden Item 004,Home & Garden,East Coast Hub,Middle East & Africa,2607,2777,6.5,4.07,Holt-Winters,2360,3193,114,618,4043,7432,1.3,High,Low,19.52,48.79,135495.96,53.9,39,Supplier_08,77.2,-2.81,0,0,None,Stable,0.834,A
2023-03-06,10,March,Q1,2023,SKU-1013,Electronics Item 013,Electronics,Central Depot,Middle East & Africa,4094,3447,15.8,19.29,Holt-Winters,2929,3964,5152,1739,3088,9229,37.8,Medium,Low,174.59,436.48,1504553.67,24.6,45,Supplier_11,83.1,-1.05,0,0,Supply Shock,Stable,1.27,C
2024-10-02,40,October,Q4,2024,SKU-1011,Sports Item 011,Sports,Central Depot,Europe,1209,1060,12.3,2.38,Ensemble,901,1219,4465,1853,308,831,110.8,Low,High,121.68,304.21,322463.82,33.2,13,Supplier_02,95.4,-2.44,1,0,None,Upward,0.7,B
2024-06-26,26,June,Q2,2024,SKU-1005,Automotive Item 005,Automotive,West Coast Hub,Latin America,2196,1913,12.9,10.5,LSTM,1626,2199,1979,1554,1645,4646,27.0,Medium,Low,69.58,173.95,332768.89,41.0,41,Supplier_01,98.5,-0.44,1,0,Holiday,Downward,1.023,B
2022-07-09,27,July,Q3,2022,SKU-1029,Healthcare Item 029,Healthcare,APAC Fulfillment,Europe,2491,3179,27.6,10.74,Ensemble,2702,3655,2815,641,2342,5414,33.9,Medium,Low,163.99,409.97,1303308.22,64.0,37,Supplier_13,80.4,-0.51,0,0,Supply Shock,Upward,0.961,B
2022-09-27,39,September,Q3,2022,SKU-1028,Home & Garden Item 028,Home & Garden,APAC Fulfillment,North America,1767,1374,22.2,12.0,ARIMA,1167,1580,9229,1742,3687,6337,156.7,Low,Low,77.42,193.55,265935.41,43.6,45,Supplier_03,84.4,-2.63,0,0,Weather,Stable,0.701,A
2022-10-09,40,October,Q4,2022,SKU-1000,Food & Beverage Item 000,Food & Beverage,Central Depot,Middle East & Africa,1427,1495,4.8,8.01,Prophet,1270,1719,5477,1151,1107,2676,115.1,Low,Medium,118.37,295.93,442420.4,35.6,33,Supplier_11,89.2,-2.4,1,0,None,Downward,0.703,B
2022-06-24,25,June,Q2,2022,SKU-1007,Office Item 007,Office,East Coast Hub,North America,4846,5324,9.9,18.58,Prophet,4525,6122,8451,1630,1460,2752,52.3,Low,High,26.15,65.37,348025.12,41.3,8,Supplier_06,95.4,-0.19,0,0,Economic,Upward,1.039,A
2023-07-19,29,July,Q3,2023,SKU-1002,Office Item 002,Office,APAC Fulfillment,Latin America,111,121,9.0,7.52,Holt-Winters,102,139,8022,1044,127,256,2168.1,Low,High,23.26,58.16,7037.32,41.8,35,Supplier_14,87.9,-2.88,0,0,Weather,Upward,0.911,A
2024-11-05,45,November,Q4,2024,SKU-1004,Home & Garden Item 004,Home & Garden,European DC,Middle East & Africa,3708,4045,9.1,19.86,Ensemble,3438,4651,3919,200,1740,4582,31.7,Low,Low,133.13,332.82,1346242.31,38.7,23,Supplier_05,87.0,-1.57,0,58.6,Supply Shock,Stable,0.757,C
2022-02-04,5,February,Q1,2022,SKU-1000,Home & Garden Item 000,Home & Garden,West Coast Hub,North America,2631,2834,7.7,7.49,LSTM,2408,3259,716,1384,911,1788,8.2,High,Low,23.11,57.77,163730.52,32.4,10,Supplier_05,71.0,-0.04,0,46.9,Competitor Promo,Downward,1.17,A
2023-11-12,45,November,Q4,2023,SKU-1022,Apparel Item 022,Apparel,West Coast Hub,North America,1971,2497,26.7,3.88,XGBoost,2122,2871,3811,1754,1906,3811,58.0,Medium,Low,106.03,265.07,661885.65,27.0,29,Supplier_15,90.0,-1.15,0,30.2,Holiday,Upward,0.776,B
2024-07-14,28,July,Q3,2024,SKU-1000,Electronics Item 000,Electronics,European DC,Latin America,1906,2078,9.0,8.54,Holt-Winters,1766,2389,2174,1302,647,1917,34.2,Low,Medium,24.73,61.83,128476.62,35.2,20,Supplier_14,76.2,-2.54,0,0,Supply Shock,Upward,0.931,B
2022-03-31,13,March,Q1,2022,SKU-1020,Apparel Item 020,Apparel,West Coast Hub,Middle East & Africa,683,848,24.2,3.9,Ensemble,720,975,9502,584,275,798,417.4,Low,High,77.89,194.72,165121.18,42.9,23,Supplier_10,97.0,-2.23,0,0,Supply Shock,Downward,1.3,B
2024-06-18,25,June,Q2,2024,SKU-1004,Automotive Item 004,Automotive,Central Depot,Europe,2153,1984,7.8,17.61,LSTM,1686,2281,4732,1713,1831,4271,65.9,Low,Low,153.66,384.14,762131.7,36.2,34,Supplier_04,86.5,-1.24,0,26.3,Economic,Stable,1.064,B
2023-09-17,37,September,Q3,2023,SKU-1013,Automotive Item 013,Automotive,APAC Fulfillment,Middle East & Africa,1965,2127,8.2,14.29,LSTM,1807,2446,2622,610,956,2462,40.0,Low,Low,148.89,372.23,791730.95,37.1,23,Supplier_14,70.5,-1.32,0,22.5,Holiday,Stable,0.708,C
2023-08-25,34,August,Q3,2023,SKU-1004,Apparel Item 004,Apparel,Central Depot,Asia Pacific,1081,954,11.7,14.12,Ensemble,810,1097,9983,439,2192,3705,277.0,Low,Medium,89.63,224.06,213757.44,41.9,42,Supplier_08,96.0,-2.6,1,59.9,Economic,Upward,0.758,A
2023-06-12,24,June,Q2,2023,SKU-1003,Home & Garden Item 003,Home & Garden,Central Depot,North America,7184,6932,3.5,6.28,LSTM,5892,7971,3335,281,10150,18770,13.9,High,Low,4.29,10.74,74415.05,28.1,36,Supplier_14,94.8,-0.26,0,0,Holiday,Downward,1.099,B
2023-12-09,49,December,Q4,2023,SKU-1006,Office Item 006,Office,APAC Fulfillment,Middle East & Africa,319,330,3.4,17.27,Ensemble,280,379,3845,1848,617,1052,361.6,Low,High,50.3,125.74,41494.84,42.0,41,Supplier_08,76.1,-0.13,0,0,Holiday,Downward,0.889,B
2024-12-20,51,December,Q4,2024,SKU-1006,Office Item 006,Office,West Coast Hub,North America,2303,2176,5.5,14.13,XGBoost,1849,2502,2936,1638,3215,5441,38.2,High,Low,157.93,394.82,859128.95,64.5,29,Supplier_13,80.7,-2.7,0,0,Economic,Downward,0.949,C
2024-11-22,47,November,Q4,2024,SKU-1022,Apparel Item 022,Apparel,European DC,Middle East & Africa,3070,2872,6.4,7.41,Prophet,2441,3302,4428,1597,1520,2952,43.3,Low,Low,121.92,304.8,875396.01,48.9,14,Supplier_07,77.4,-2.4,0,0,Economic,Upward,0.817,A
2023-08-05,31,August,Q3,2023,SKU-1018,Office Item 018,Office,APAC Fulfillment,Europe,3678,3266,11.2,6.26,Prophet,2776,3755,4430,567,977,1712,36.1,Low,Medium,126.59,316.47,1033585.44,54.9,6,Supplier_14,88.2,-0.68,0,40.6,Holiday,Downward,0.832,B
2023-04-06,14,April,Q2,2023,SKU-1003,Healthcare Item 003,Healthcare,European DC,Europe,1215,1487,22.4,9.03,LSTM,1263,1710,8450,1029,2310,4092,208.6,Low,Medium,4.74,11.86,17638.46,30.8,44,Supplier_10,91.4,-0.23,0,14.2,Weather,Stable,1.299,B
2024-06-03,23,June,Q2,2024,SKU-1029,Apparel Item 029,Apparel,Central Depot,Asia Pacific,365,350,4.1,16.98,XGBoost,297,402,2935,361,507,908,241.2,Low,High,197.9,494.74,173158.43,65.0,33,Supplier_08,81.1,-1.25,0,0,None,Upward,1.137,A
2022-07-04,27,July,Q3,2022,SKU-1029,Office Item 029,Office,East Coast Hub,North America,2626,2248,14.4,10.57,XGBoost,1910,2585,923,1993,1086,1873,10.5,High,Low,83.52,208.79,469355.6,20.9,9,Supplier_03,83.5,-1.83,0,0,Weather,Upward,0.987,A
2024-03-07,10,March,Q1,2024,SKU-1004,Automotive Item 004,Automotive,APAC Fulfillment,Asia Pacific,5912,5351,9.5,12.84,XGBoost,4548,6153,3532,489,7237,12557,17.9,High,Low,10.59,26.48,141687.85,46.4,27,Supplier_15,98.6,-0.02,0,0,Competitor Promo,Downward,1.274,A
2023-07-06,27,July,Q3,2023,SKU-1025,Automotive Item 025,Automotive,East Coast Hub,Middle East & Africa,3156,2528,19.9,5.66,LSTM,2148,2907,2889,396,638,1584,27.5,Low,Medium,13.3,33.25,84067.23,64.2,9,Supplier_08,98.2,-2.01,0,0,None,Downward,0.977,C
2022-03-06,9,March,Q1,2022,SKU-1023,Sports Item 023,Sports,East Coast Hub,Latin America,6685,5319,20.4,19.99,Holt-Winters,4521,6116,3808,603,3624,10531,17.1,Medium,Low,78.61,196.52,1045280.97,45.1,31,Supplier_15,75.1,-1.95,0,0,Economic,Stable,1.27,B
2023-11-21,47,November,Q4,2023,SKU-1026,Food & Beverage Item 026,Food & Beverage,APAC Fulfillment,North America,2044,2007,1.8,6.74,XGBoost,1705,2308,4864,461,1512,3283,71.4,Low,Medium,121.97,304.94,612006.77,36.0,26,Supplier_12,96.8,-0.33,0,20.2,Weather,Stable,0.809,B
2024-05-18,20,May,Q2,2024,SKU-1014,Healthcare Item 014,Healthcare,European DC,Middle East & Africa,4493,5141,14.4,2.27,XGBoost,4369,5912,6387,1539,1041,2089,42.6,Low,High,140.8,352.0,1809629.78,35.1,7,Supplier_03,91.9,-2.12,0,0,Economic,Downward,1.204,B
2023-06-18,24,June,Q2,2023,SKU-1004,Automotive Item 004,Automotive,European DC,North America,1716,1516,11.7,17.98,Prophet,1288,1743,7901,594,511,968,138.1,Low,High,57.28,143.19,217074.25,58.3,8,Supplier_13,84.8,-1.54,0,0,Competitor Promo,Upward,1.069,A
2023-12-14,50,December,Q4,2023,SKU-1012,Automotive Item 012,Automotive,Central Depot,Asia Pacific,1457,1302,10.6,20.67,XGBoost,1106,1497,1506,9,556,993,31.0,Low,Low,40.29,100.71,131128.59,24.2,9,Supplier_01,89.6,-2.22,1,0,Holiday,Downward,0.913,C
2024-05-01,18,May,Q2,2024,SKU-1026,Electronics Item 026,Electronics,West Coast Hub,Latin America,3966,3756,5.3,8.0,XGBoost,3192,4319,6049,1297,4911,8216,45.8,Medium,Low,144.78,361.95,1359498.82,45.3,25,Supplier_06,92.2,-1.65,1,0,Economic,Downward,1.259,B
2022-11-28,48,November,Q4,2022,SKU-1020,Electronics Item 020,Electronics,Central Depot,Middle East & Africa,3737,2998,19.8,24.53,Holt-Winters,2548,3447,7822,1081,2588,5453,62.8,Low,Medium,107.92,269.8,808850.03,34.8,23,Supplier_13,90.1,-0.23,1,34.1,Weather,Stable,0.839,A
2022-04-27,17,April,Q2,2022,SKU-1024,Apparel Item 024,Apparel,East Coast Hub,North America,1774,2450,38.1,21.46,Ensemble,2082,2817,8559,1849,1846,4270,144.7,Low,Medium,192.83,482.07,1181080.08,30.0,41,Supplier_15,94.8,-0.59,1,0,Supply Shock,Downward,1.271,C
2022-11-13,45,November,Q4,2022,SKU-1014,Automotive Item 014,Automotive,Central Depot,Middle East & Africa,725,655,9.7,16.73,Prophet,556,753,2406,651,1483,2498,99.6,Medium,Low,175.89,439.73,288025.54,23.3,42,Supplier_13,86.2,-1.54,1,0,Weather,Upward,0.779,A
2023-05-19,20,May,Q2,2023,SKU-1012,Apparel Item 012,Apparel,East Coast Hub,Middle East & Africa,1597,1319,17.4,24.03,Prophet,1121,1516,6674,1454,1373,2437,125.4,Low,Medium,65.11,162.76,214686.08,45.4,20,Supplier_11,78.4,-1.03,0,0,Economic,Downward,1.204,A
2024-03-04,10,March,Q1,2024,SKU-1018,Sports Item 018,Sports,East Coast Hub,Latin America,1300,1288,0.9,3.79,Prophet,1094,1481,9689,1811,467,1333,223.6,Low,High,106.76,266.91,343782.73,21.5,20,Supplier_04,97.5,-1.55,1,0,Economic,Stable,1.268,B
2022-04-27,17,April,Q2,2022,SKU-1017,Office Item 017,Office,West Coast Hub,Latin America,3377,3107,8.0,9.94,Prophet,2640,3573,1729,1004,4250,7514,15.4,High,Low,194.34,485.84,1509500.29,33.9,29,Supplier_15,71.4,-2.87,1,0,Supply Shock,Stable,1.271,B
2023-08-22,34,August,Q3,2023,SKU-1001,Electronics Item 001,Electronics,European DC,Latin America,2532,2234,11.8,19.1,ARIMA,1898,2569,6068,1114,4266,7895,71.9,Medium,Low,46.22,115.55,258143.46,20.4,43,Supplier_02,70.1,-0.27,0,12.1,Competitor Promo,Upward,0.768,A
2022-07-25,30,July,Q3,2022,SKU-1000,Home & Garden Item 000,Home & Garden,APAC Fulfillment,North America,2947,3058,3.8,9.33,Holt-Winters,2599,3516,9168,73,2159,3730,93.3,Low,Medium,141.64,354.1,1082823.53,25.5,16,Supplier_14,72.2,-0.26,0,38.3,Economic,Downward,0.882,C
2022-08-18,33,August,Q3,2022,SKU-1000,Healthcare Item 000,Healthcare,East Coast Hub,Asia Pacific,3649,3764,3.2,16.12,ARIMA,3199,4328,1061,167,814,1422,8.7,Medium,Low,97.46,243.66,917131.64,55.6,5,Supplier_13,98.8,-2.31,0,0,Supply Shock,Upward,0.781,B
2022-08-18,33,August,Q3,2022,SKU-1018,Healthcare Item 018,Healthcare,East Coast Hub,Latin America,923,1233,33.6,12.26,ARIMA,1048,1417,5396,128,1218,2294,175.4,Low,Medium,119.65,299.14,368834.77,60.4,35,Supplier_08,70.6,-0.65,0,0,Economic,Downward,0.781,B
2023-10-10,41,October,Q4,2023,SKU-1010,Electronics Item 010,Electronics,West Coast Hub,Asia Pacific,4183,4355,4.1,21.18,XGBoost,3701,5008,1370,1303,5839,10858,9.8,High,Low,34.71,86.77,377900.31,43.6,36,Supplier_06,90.2,-0.16,0,0,Weather,Stable,0.704,A
2023-05-31,22,May,Q2,2023,SKU-1020,Home & Garden Item 020,Home & Garden,APAC Fulfillment,Latin America,2429,2603,7.2,13.45,ARIMA,2212,2993,7584,1728,2856,6337,93.7,Low,Low,48.52,121.3,315747.0,50.9,43,Supplier_04,74.5,-2.54,1,0,Weather,Downward,1.155,A
2022-01-30,4,January,Q1,2022,SKU-1007,Apparel Item 007,Apparel,West Coast Hub,Europe,4353,4404,1.2,13.74,LSTM,3743,5064,7573,1135,2342,5244,52.2,Low,Medium,147.48,368.7,1623749.15,20.5,20,Supplier_15,75.7,-2.81,0,0,Weather,Upward,1.148,C
2024-03-02,9,March,Q1,2024,SKU-1013,Healthcare Item 013,Healthcare,APAC Fulfillment,Latin America,7003,6229,11.1,23.75,XGBoost,5294,7163,518,1729,6591,16628,2.2,High,Low,115.26,288.15,1794903.43,47.4,43,Supplier_02,96.3,-1.09,0,34.6,Competitor Promo,Stable,1.263,C
2023-11-03,44,November,Q4,2023,SKU-1027,Food & Beverage Item 027,Food & Beverage,European DC,North America,4975,4361,12.3,7.64,Holt-Winters,3706,5015,4991,922,4059,8868,30.1,Medium,Low,170.35,425.86,1857196.86,25.0,29,Supplier_04,77.4,-1.6,0,0,Weather,Downward,0.748,B
2023-03-17,11,March,Q1,2023,SKU-1004,Home & Garden Item 004,Home & Garden,European DC,Asia Pacific,6273,5541,11.7,19.68,XGBoost,4709,6372,8753,877,7098,16089,41.9,Medium,Low,66.8,167.0,925360.58,51.0,43,Supplier_06,88.2,-1.06,0,11.5,Holiday,Upward,1.29,A
2023-09-07,36,September,Q3,2023,SKU-1007,Healthcare Item 007,Healthcare,APAC Fulfillment,Europe,1891,1917,1.4,24.61,Prophet,1629,2204,5883,279,996,1941,93.3,Low,High,114.44,286.09,548441.76,64.1,15,Supplier_05,92.9,-2.0,0,0,Competitor Promo,Stable,0.725,C
2022-11-28,48,November,Q4,2022,SKU-1004,Healthcare Item 004,Healthcare,West Coast Hub,Middle East & Africa,4051,3843,5.1,14.59,ARIMA,3266,4419,2437,413,3070,9146,18.0,High,Low,63.44,158.6,609501.19,30.5,45,Supplier_11,83.5,-1.81,0,43.6,Competitor Promo,Upward,0.839,A
2023-09-29,39,September,Q3,2023,SKU-1028,Apparel Item 028,Apparel,Central Depot,Europe,407,526,29.2,16.02,Prophet,447,604,6233,1123,115,277,459.4,Low,High,107.55,268.88,141431.16,23.3,12,Supplier_06,85.8,-0.37,1,0,None,Upward,0.7,B
2023-02-18,7,February,Q1,2023,SKU-1028,Office Item 028,Office,Central Depot,North America,5524,5612,1.6,2.88,Ensemble,4770,6453,9920,1140,1257,3282,53.9,Low,High,90.08,225.19,1263788.92,57.3,11,Supplier_01,70.9,-1.27,0,0,Holiday,Upward,1.224,A
2024-07-29,31,July,Q3,2024,SKU-1015,Sports Item 015,Sports,European DC,Europe,603,721,19.6,14.73,Holt-Winters,612,829,4736,1077,228,469,235.6,Low,High,81.81,204.52,147459.03,27.8,12,Supplier_14,75.7,-2.51,1,30.9,Weather,Downward,0.859,A
2022-06-29,26,June,Q2,2022,SKU-1009,Sports Item 009,Sports,Central Depot,North America,382,441,15.4,8.12,Prophet,374,507,8240,884,627,1047,647.1,Low,High,172.47,431.18,190149.36,52.5,33,Supplier_05,73.9,-2.34,1,0,Economic,Downward,1.013,B
2022-08-18,33,August,Q3,2022,SKU-1009,Sports Item 009,Sports,West Coast Hub,Middle East & Africa,1838,2341,27.4,18.7,XGBoost,1989,2692,1036,1860,1771,3547,16.9,High,Low,103.23,258.07,604134.55,34.0,29,Supplier_01,80.3,-2.15,1,0,None,Downward,0.781,B
2024-09-27,39,September,Q3,2024,SKU-1028,Automotive Item 028,Automotive,APAC Fulfillment,Latin America,599,613,2.3,22.99,Ensemble,521,704,2653,1930,707,1585,132.9,Low,Medium,161.02,402.55,246764.61,46.5,44,Supplier_03,75.4,-0.61,0,0,Economic,Upward,0.7,B
2022-11-07,45,November,Q4,2022,SKU-1003,Electronics Item 003,Electronics,Central Depot,Asia Pacific,71,80,12.7,10.55,Ensemble,68,92,1794,1513,73,151,758.0,Low,High,82.29,205.73,16458.63,57.6,33,Supplier_01,90.9,-1.68,1,0,Weather,Downward,0.76,B
2022-12-28,52,December,Q4,2022,SKU-1027,Sports Item 027,Sports,West Coast Hub,Asia Pacific,1207,1190,1.4,18.98,Prophet,1011,1368,137,1218,250,451,3.4,High,Low,186.17,465.43,553867.37,35.1,5,Supplier_11,75.3,-1.08,1,0,Competitor Promo,Stable,0.985,A
2022-08-05,31,August,Q3,2022,SKU-1005,Automotive Item 005,Automotive,East Coast Hub,North America,682,770,12.9,3.44,XGBoost,654,885,523,249,163,390,23.0,Low,Medium,99.94,249.85,192387.04,42.1,10,Supplier_11,76.0,-1.33,1,0,Economic,Downward,0.832,A
2022-09-12,37,September,Q3,2022,SKU-1010,Apparel Item 010,Apparel,East Coast Hub,Europe,1343,1228,8.6,9.44,Holt-Winters,1043,1412,8972,1810,841,2318,200.4,Low,High,112.43,281.07,345148.27,47.4,33,Supplier_06,96.0,-0.99,0,55.7,Economic,Downward,0.715,A
2023-11-09,45,November,Q4,2023,SKU-1013,Home & Garden Item 013,Home & Garden,European DC,North America,3129,3254,4.0,19.65,ARIMA,2765,3742,3262,1319,2120,3684,31.3,Medium,Low,158.07,395.17,1285866.95,47.0,15,Supplier_03,97.1,-1.74,1,0,Weather,Downward,0.766,B
